number,id,video,img,match,NOTES,debug,type,note,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_inst.started,key_resp_inst.started,key_resp_inst.keys,key_resp_inst.rt,text.started,fixate_middle.started,text.stopped,movie.started,Goal_reached.started,key_resp.started,Goal_reached.stopped,key_resp.keys,key_resp.rt,fixate_middle.stopped,text_mid.started,key_resp_mid.started,key_resp_mid.keys,key_resp_mid.rt,image.started,Question.started,yes_no.started,Question.stopped,yes_no.keys,yes_no.rt,text_confidence.started,key_resp_confidence.started,key_resp_confidence.keys,key_resp_confidence.rt,text_thanks.started,key_resp_thanks.started,key_resp_thanks.keys,key_resp_thanks.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,5.139007091522217,5.139007091522217,space,1.4806621074676514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,make up a name,001,2023-03-30_23h16.51.762,meta_vpr,2022.2.5,58.64076258224352,
101,432,../recordings/1/vid.mp4,None,0,"new, old",mismatch,practice,PRACTICE: These are 'different' places,0,0,0,0,,,,,,,,,6.716347932815552,7.144394874572754,7.228554964065552,7.709749937057495,14.662626028060913,14.662626028060913,17.67021608352661,n,4.602694988250732,,,,,,,,,,,,,,,,,,,,make up a name,001,2023-03-30_23h16.51.762,meta_vpr,2022.2.5,58.64076258224352,
102,52,../recordings/1/vid.mp4,None,1,"new, old",match,practice,PRACTICE: These are the 'same' place,0,1,1,1,,,,,,,,,19.287782907485962,19.770955085754395,19.78841996192932,20.31838607788086,27.31238102912903,27.31238102912903,30.317970037460327,n,3.5845718383789062,20.31838607788086,,,,,,,,,,,,,,,,,,,make up a name,001,2023-03-30_23h16.51.762,meta_vpr,2022.2.5,58.64076258224352,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.91495108604431,30.91495108604431,space,11.79252004623413,,,,,,,,,,,,,,,make up a name,001,2023-03-30_23h16.51.762,meta_vpr,2022.2.5,58.64076258224352,
2,2,imgs/new0005.png,../recordings/2/first_frame.png,1,"new, old",match,test,None,,,,,0,0,0,1,,,,,42.774425983428955,43.24478006362915,43.277246952056885,,,,,,,,,,,,43.78043794631958,45.743207931518555,45.743207931518555,48.74461889266968,y,3.604283094406128,49.366004943847656,49.366004943847656,4,4.481333017349243,,,,,make up a name,001,2023-03-30_23h16.51.762,meta_vpr,2022.2.5,58.64076258224352,
5,5,imgs/new0015.png,../recordings/5/first_frame.png,1,"new, old",match,test,None,,,,,0,1,1,4,,,,,53.86664295196533,54.351420879364014,54.36843299865723,,,,,,,54.86283993721008,,,,,54.86283993721008,56.87139892578125,56.87139892578125,59.87168002128601,y,3.5784718990325928,60.472580909729004,60.472580909729004,3,1.7605030536651611,,,,,make up a name,001,2023-03-30_23h16.51.762,meta_vpr,2022.2.5,58.64076258224352,
1,1,imgs/new0003.png,../recordings/1/first_frame.png,1,"new, old",match,test,None,,,,,0,2,2,0,,,,,62.258605003356934,62.74125289916992,62.757498025894165,,,,,,,63.25196290016174,,,,,63.25196290016174,65.26272487640381,65.26272487640381,,y,1.9906938076019287,67.27990508079529,67.27990508079529,3,2.355947971343994,,,,,make up a name,001,2023-03-30_23h16.51.762,meta_vpr,2022.2.5,58.64076258224352,
7,7,imgs/new0038.png,../recordings/7/first_frame.png,1,"new, old",match,test,None,,,,,0,3,3,6,,,,,69.66324400901794,70.14725303649902,70.16282105445862,,,,,,,70.65840888023376,,,,,70.65840888023376,72.66613602638245,72.66613602638245,,y,1.2270820140838623,73.92076587677002,73.92076587677002,4,1.848423957824707,,,,,make up a name,001,2023-03-30_23h16.51.762,meta_vpr,2022.2.5,58.64076258224352,
6,6,imgs/new0026.png,../recordings/6/first_frame.png,1,"new, old",match,test,None,,,,,0,4,4,5,,,,,75.78507709503174,76.2853000164032,76.2853000164032,,,,,,,76.80687403678894,,,,,76.80687403678894,78.78895688056946,78.78895688056946,,n,1.86055588722229,80.6715440750122,80.6715440750122,3,1.1439740657806396,,,,,make up a name,001,2023-03-30_23h16.51.762,meta_vpr,2022.2.5,58.64076258224352,
8,8,imgs/new0040.png,../recordings/8/first_frame.png,1,"new, old",match,test,None,,,,,0,5,5,7,,,,,81.84565091133118,82.3467059135437,82.3467059135437,,,,,,,,,,,,82.86521887779236,84.84297490119934,84.84297490119934,,y,2.4472239017486572,87.31300687789917,87.31300687789917,4,0.3757960796356201,,,,,make up a name,001,2023-03-30_23h16.51.762,meta_vpr,2022.2.5,58.64076258224352,
10,10,imgs/new0065.png,../recordings/10/first_frame.png,1,"new, old",match,test,None,,,,,0,6,6,9,,,,,87.71047306060791,88.21351408958435,88.21351408958435,,,,,,,,,,,,88.73191499710083,90.71799397468567,90.71799397468567,,y,0.7562589645385742,91.49698305130005,91.49698305130005,5,0.7593240737915039,,,,,make up a name,001,2023-03-30_23h16.51.762,meta_vpr,2022.2.5,58.64076258224352,
3,3,imgs/new0010.png,../recordings/3/first_frame.png,1,"new, old",match,test,None,,,,,0,7,7,2,,,,,92.2819390296936,92.78146600723267,92.78146600723267,,,,,,,93.2898600101471,,,,,93.2898600101471,95.30333995819092,95.30333995819092,98.30377197265625,y,2.9820849895477295,98.30377197265625,98.30377197265625,2,1.1144089698791504,,,,,make up a name,001,2023-03-30_23h16.51.762,meta_vpr,2022.2.5,58.64076258224352,
9,9,imgs/new0060.png,../recordings/9/first_frame.png,1,"new, old",match,test,None,,,,,0,8,8,8,,,,,99.44157004356384,99.92344498634338,99.95429301261902,,,,,,,,,,,,100.45266103744507,102.43960404396057,102.43960404396057,,y,0.37035489082336426,102.84303903579712,102.84303903579712,4,2.296583890914917,,,,,make up a name,001,2023-03-30_23h16.51.762,meta_vpr,2022.2.5,58.64076258224352,
4,4,imgs/new0012.png,../recordings/4/first_frame.png,1,"new, old",match,test,None,,,,,0,9,9,3,,,,,105.15957403182983,105.64391803741455,105.66242909431458,,,,,,,106.15360307693481,,,,,106.15360307693481,108.16370296478271,108.16370296478271,111.1654760837555,y,3.632802963256836,111.81708002090454,111.81708002090454,4,1.9927430152893066,,,,,make up a name,001,2023-03-30_23h16.51.762,meta_vpr,2022.2.5,58.64076258224352,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.8366310596466,113.8366310596466,space,7.613741874694824,make up a name,001,2023-03-30_23h16.51.762,meta_vpr,2022.2.5,58.64076258224352,
