number,id,video,img,match,NOTES,debug,type,note,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_inst.started,key_resp_inst.started,key_resp_inst.keys,key_resp_inst.rt,text.started,fixate_middle.started,text.stopped,fixate_middle.stopped,movie.started,Goal_reached.started,key_resp.started,key_resp.keys,key_resp.rt,text_mid.started,key_resp_mid.started,key_resp_mid.keys,key_resp_mid.rt,image.started,Question.started,yes_no.started,Question.stopped,yes_no.keys,yes_no.rt,text_confidence.started,key_resp_confidence.started,key_resp_confidence.keys,key_resp_confidence.rt,image.stopped,text_thanks.started,key_resp_thanks.started,key_resp_thanks.keys,key_resp_thanks.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,3.6661438941955566,3.6661438941955566,n,1.5768840312957764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,make up a name,001,2023-03-31_10h05.21.821,meta_vpr,2022.2.5,60.26922325298019,
101,432,../recordings/100/vid.mp4,None,0,"new, old",mismatch,practice,PRACTICE: These are 'different' places,0,0,0,0,,,,,,,,,5.336112976074219,5.753270864486694,5.851294040679932,6.346045017242432,6.346045017242432,8.301744937896729,8.301744937896729,n,1.7726359367370605,,,,,,,,,,,,,,,,,,,,make up a name,001,2023-03-31_10h05.21.821,meta_vpr,2022.2.5,60.26922325298019,
102,52,../recordings/150/vid.mp4,None,1,"new, old",match,practice,PRACTICE: These are the 'same' place,0,1,1,1,,,,,,,,,10.104662895202637,10.588214874267578,10.60534381866455,11.146615028381348,11.146615028381348,13.114957809448242,13.114957809448242,n,0.5274460315704346,,,,,,,,,,,,,,,,,,,,make up a name,001,2023-03-31_10h05.21.821,meta_vpr,2022.2.5,60.26922325298019,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.671926975250244,13.671926975250244,space,3.3621280193328857,,,,,,,,,,,,,,,,make up a name,001,2023-03-31_10h05.21.821,meta_vpr,2022.2.5,60.26922325298019,
3,3,imgs/new0010.png,../recordings/120/first_frame.png,1,"new, old",match,test,None,,,,,0,0,0,2,,,,,17.08716082572937,17.54199981689453,17.591675996780396,18.057451963424683,,,,,,,,,,18.057451963424683,20.062803983688354,20.062803983688354,23.062548875808716,y,3.179716110229492,23.262964010238647,23.262964010238647,3,3.259361982345581,,,,,,make up a name,001,2023-03-31_10h05.21.821,meta_vpr,2022.2.5,60.26922325298019,
4,4,imgs/new0012.png,../recordings/180/first_frame.png,1,"new, old",match,test,None,,,,,0,1,1,3,,,,,26.548954963684082,27.03391695022583,27.05255103111267,27.5414400100708,,,,,,,,,,27.5414400100708,29.552034854888916,29.552034854888916,,n,1.466439962387085,31.03630495071411,31.03630495071411,4,4.382321119308472,,,,,,make up a name,001,2023-03-31_10h05.21.821,meta_vpr,2022.2.5,60.26922325298019,
7,7,imgs/new0038.png,../recordings/360/first_frame.png,1,"new, old",match,test,None,,,,,0,2,2,6,,,,,35.43972587585449,35.92630481719971,35.942577838897705,36.443840980529785,,,,,,,,,,36.443840980529785,38.4459228515625,38.4459228515625,,y,1.0525448322296143,39.52972483634949,39.52972483634949,4,1.4088459014892578,,,,,,make up a name,001,2023-03-31_10h05.21.821,meta_vpr,2022.2.5,60.26922325298019,
5,5,imgs/new0015.png,../recordings/240/first_frame.png,1,"new, old",match,test,None,,,,,0,3,3,4,,,,,40.9609580039978,41.44475483894348,41.46126103401184,41.95502591133118,,,,,,,,,,41.95502591133118,43.96650791168213,43.96650791168213,,n,0.6679518222808838,44.66397786140442,44.66397786140442,3,0.5465900897979736,,,,,,make up a name,001,2023-03-31_10h05.21.821,meta_vpr,2022.2.5,60.26922325298019,
1,1,imgs/new0003.png,../recordings/10/first_frame.png,1,"new, old",match,test,None,,,,,0,4,4,0,,,,,45.234020948410034,45.71779990196228,45.73440599441528,46.2351770401001,,,,,,,,,,46.2351770401001,48.237783908843994,48.237783908843994,,y,1.2607338428497314,49.51848793029785,49.51848793029785,5,0.7158989906311035,,,,,,make up a name,001,2023-03-31_10h05.21.821,meta_vpr,2022.2.5,60.26922325298019,
8,8,imgs/new0040.png,../recordings/420/first_frame.png,1,"new, old",match,test,None,,,,,0,5,5,7,,,,,50.25555396080017,50.738569021224976,50.75529384613037,51.240320920944214,,,,,,,,,,51.240320920944214,53.25939989089966,53.25939989089966,,n,0.7030279636383057,53.98867702484131,53.98867702484131,2,1.0939249992370605,53.25939989089966,,,,,make up a name,001,2023-03-31_10h05.21.821,meta_vpr,2022.2.5,60.26922325298019,
